user_id,course_id,rating,completed,time_spent,clicks,progress,enrolled_on,review
U1,C13,2,1,41,6,23,2024-01-01,Very interactive and engaging.
U1,C57,4,0,48,20,25,2025-03-07,"Outdated content, needs refresh."
U1,C58,5,1,25,1,90,2025-07-23,Challenging but rewarding.
U1,C41,2,1,49,23,8,2023-10-17,"Too basic, but good for beginners."
U1,C9,5,0,24,11,25,2023-12-12,"Outdated content, needs refresh."
U1,C39,1,1,43,28,62,2024-10-22,Needs more real-world examples.
U1,C6,5,1,40,13,75,2023-12-21,"Too basic, but good for beginners."
U1,C15,3,1,55,15,79,2023-11-30,Well-structured and practical.
U1,C3,3,0,44,5,40,2024-04-06,"Too basic, but good for beginners."
U1,C44,2,1,8,6,47,2024-04-08,Well-structured and practical.
U1,C14,5,1,27,20,17,2025-02-18,Very interactive and engaging.
U1,C22,4,0,32,21,68,2025-04-11,Well-structured and practical.
U1,C32,5,0,32,10,17,2025-06-19,Well-structured and practical.
U1,C67,3,1,40,2,45,2024-07-18,"Great course, learned a lot!"
U1,C23,4,0,13,27,49,2024-01-26,"Outdated content, needs refresh."
U1,C21,4,1,27,23,56,2024-12-28,"Outdated content, needs refresh."
U1,C43,2,0,37,1,97,2024-03-15,Challenging but rewarding.
U1,C36,3,0,18,8,68,2024-08-24,Loved the instructor's style.
U1,C28,2,1,37,24,98,2025-04-08,"Outdated content, needs refresh."
U1,C30,5,0,37,4,34,2024-08-22,Needs more real-world examples.
U2,C57,3,0,29,9,44,2025-08-03,"Too basic, but good for beginners."
U2,C70,4,0,50,26,30,2024-09-22,Challenging but rewarding.
U2,C28,5,1,56,23,78,2024-04-04,Very interactive and engaging.
U2,C55,2,0,51,7,26,2025-05-28,"Great course, learned a lot!"
U2,C14,5,1,35,9,76,2024-07-07,Well-structured and practical.
U2,C32,3,1,19,19,34,2024-04-19,"Too basic, but good for beginners."
U3,C53,4,1,10,19,80,2024-12-06,Loved the instructor's style.
U3,C8,4,1,29,3,81,2025-01-09,"Too basic, but good for beginners."
U3,C36,4,1,45,30,47,2025-04-15,"Outdated content, needs refresh."
U3,C17,4,1,38,1,99,2024-04-09,"Too basic, but good for beginners."
U3,C77,4,1,55,3,68,2025-02-15,Very interactive and engaging.
U3,C32,2,1,53,7,63,2025-05-09,Loved the instructor's style.
U3,C19,3,1,22,18,73,2025-08-29,Well-structured and practical.
U3,C42,5,1,51,11,87,2024-08-30,"Great course, learned a lot!"
U3,C75,1,0,41,26,58,2025-02-22,"Great course, learned a lot!"
U4,C21,2,1,6,21,46,2023-12-20,Loved the instructor's style.
U4,C57,1,1,43,29,83,2025-05-17,Well-structured and practical.
U4,C59,1,1,41,10,92,2024-07-25,Challenging but rewarding.
U4,C1,4,0,46,4,0,2024-01-15,Challenging but rewarding.
U4,C55,4,0,9,19,28,2024-09-17,"Outdated content, needs refresh."
U4,C26,1,0,45,11,15,2025-01-24,Very interactive and engaging.
U4,C17,2,1,5,8,49,2025-05-04,"Too basic, but good for beginners."
U4,C39,1,0,21,12,38,2024-06-13,Well-structured and practical.
U5,C18,1,1,23,14,40,2023-10-19,Well-structured and practical.
U5,C19,2,1,42,3,31,2025-04-03,Loved the instructor's style.
U5,C9,1,1,14,17,77,2025-02-27,Challenging but rewarding.
U5,C68,4,1,42,2,100,2024-04-20,Challenging but rewarding.
U5,C73,4,1,8,8,63,2025-06-12,"Too basic, but good for beginners."
U5,C2,5,0,24,30,40,2025-01-27,Well-structured and practical.
U5,C22,4,1,24,18,87,2024-03-16,Well-structured and practical.
U5,C57,4,0,2,19,8,2024-10-17,"Great course, learned a lot!"
U5,C45,3,0,3,30,7,2023-10-14,Very interactive and engaging.
U5,C28,5,1,41,23,64,2024-07-22,Very interactive and engaging.
U5,C20,4,1,6,21,68,2023-11-25,Well-structured and practical.
U5,C53,3,0,20,3,65,2024-04-25,Challenging but rewarding.
U5,C76,2,1,26,19,81,2024-07-22,"Too basic, but good for beginners."
U5,C71,3,1,47,28,30,2023-12-17,"Great course, learned a lot!"
U5,C12,2,0,60,14,14,2025-08-15,"Outdated content, needs refresh."
U5,C13,5,0,20,22,94,2024-05-30,Well-structured and practical.
U5,C80,1,0,46,5,89,2024-01-07,"Great course, learned a lot!"
U6,C64,1,1,52,14,34,2024-10-11,"Too basic, but good for beginners."
U6,C45,3,0,32,15,65,2025-05-05,Needs more real-world examples.
U6,C67,1,1,55,19,21,2024-04-13,Needs more real-world examples.
U6,C78,2,1,50,4,73,2024-12-11,"Too basic, but good for beginners."
U6,C34,2,0,3,28,1,2024-09-16,Challenging but rewarding.
U6,C22,1,1,24,13,19,2025-03-02,Well-structured and practical.
U6,C48,1,1,15,11,31,2025-08-20,Very interactive and engaging.
U6,C17,3,1,53,3,73,2025-01-26,Needs more real-world examples.
U6,C35,1,0,12,8,66,2024-10-17,"Great course, learned a lot!"
U6,C16,4,0,57,15,36,2024-06-22,Loved the instructor's style.
U7,C12,2,0,60,14,3,2025-02-19,Challenging but rewarding.
U7,C71,5,1,41,27,88,2023-10-08,"Great course, learned a lot!"
U7,C59,3,0,49,22,48,2024-10-29,Loved the instructor's style.
U7,C2,1,0,34,8,53,2024-06-28,"Outdated content, needs refresh."
U7,C48,1,0,46,9,11,2024-09-11,"Great course, learned a lot!"
U7,C26,2,1,45,29,47,2024-11-13,"Outdated content, needs refresh."
U7,C38,1,0,33,5,81,2024-08-14,Very interactive and engaging.
U7,C73,1,0,28,22,16,2024-08-16,Challenging but rewarding.
U7,C39,3,1,55,11,50,2025-01-27,Needs more real-world examples.
U7,C32,3,1,18,8,9,2025-02-17,Challenging but rewarding.
U7,C60,2,0,10,4,21,2024-05-16,"Outdated content, needs refresh."
U7,C76,4,1,27,4,68,2025-08-25,Needs more real-world examples.
U7,C64,2,1,20,15,33,2024-08-04,"Too basic, but good for beginners."
U7,C75,1,0,52,22,38,2025-02-12,"Great course, learned a lot!"
U7,C79,2,1,10,3,91,2024-10-28,Challenging but rewarding.
U8,C51,1,0,54,25,28,2024-10-15,Well-structured and practical.
U8,C66,2,1,24,22,80,2024-03-08,"Too basic, but good for beginners."
U8,C7,5,1,59,27,9,2024-10-07,"Great course, learned a lot!"
